Region,CryptoPos,GiardiaPos
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,0,1
Hawke's Bay,1,0
Hawke's Bay,1,0
Hawke's Bay,1,0
Hawke's Bay,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Manawatu-Wanganui,0,0
Manawatu-Wanganui,0,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Manawatu-Wanganui,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
